refid,date,recipient,recipient_cleaned,office,amount
1096,01/10/2014,Dan Hunt,Randy Hunt,Massachusetts Representative - 5th Barnstable,100.00
1096,03/20/2014,Suzanne Bump,Suzanne Bump,Auditor for Massachusetts,200.00
1096,04/03/2014,Robert DeLeo,Robert DeLeo,Massachusetts Representative - 19th Suffolk district,200.00
1096,04/09/2014,Warren Tolman committee,Warren Tolman,Attorney General for Massachusetts,200.00
1096,04/16/2014,Vinny DeMACEDO Committee,Viriato deMacedo,Massachusetts Senate - 1st Plymouth,100.00
1096,04/28/2014,Maura Healey Committee,Maura Healey,Attorney General for Massachusetts,200.00
1096,05/15/2014,Tom Kennedy committee,Thomas P. Kennedy,Massachusetts Senate - 2nd Plymouth and Bristol,200.00
1096,06/25/2014,The Baker Committee,Charles Baker,Governor for Massachusetts,200.00
1096,07/21/2014,Coakley Committee,Martha Coakley,Governor of Massachusetts,200.00
1096,10/15/2014,Christine Barber,Christine Barber,"State Representative - Medford, Somerville",200.00
1096,10/15/2014,Karyn Polito,Karyn Polito,Lt. Governor - Massachusetts,200.00
1102,02/12/2014,Edward F. Coppinger,Edward Coppinger,State Representative of the 10th Suffolk District,100.00
1102,02/13/2014,Martha Coakley,Martha Coakley,Candidate for the Governor of the Commonwealth,200.00
1102,02/25/2014,Robert DeLeo,Robert DeLeo,State Representative of the 19th Suffolk District,200.00
1102,03/13/2014,James T. Welch,James T. Welch,State Senator of the Hampden District,100.00
1102,03/27/2014,Ronald Mariano,Ronald Mariano,State Representative of the 3rd Norfolk District,200.00
1102,04/01/2014,Kathleen O'Connor Ives,Kathleen O'Connor Ives,State Senator of the 1st Essex District,100.00
1102,04/01/2014,"Bradley H. Jones, Jr.",Bradley H. Jones,State Representative of the 20th Middlesex District,100.00
1102,04/02/2014,Claire D. Cronin,Claire Cronin,State Representative of the 11th Plymouth District,200.00
1102,04/03/2014,Patricia A. Haddad,Patricia Haddad,State Representative of the 5th Bristol District,100.00
1102,04/09/2014,Mark J. Cusack,Mark J. Cusack,State Representative of the 5th Norfolk District,200.00
1102,04/10/2014,Ann-Margaret Ferrante,Ann-Margaret Ferrante,State Representative of the 5th Essex District,100.00
1102,04/15/2014,Joseph F. Wagner,Joseph F. Wagner,State Representative of the 8th Hampden District,200.00
1102,04/15/2014,Aaron Michlewitz,Aaron Michlewitz,State Representative of the 3rd Suffolk District,200.00
1102,04/16/2014,"Harold P. Naughton, Jr.",Harold Naughton,State Representative of the 12th Worcester District,200.00
1102,04/17/2014,Viriato M. deMacedo,Viriato deMacedo,State Representative of the 1st Plymouth District,100.00
1102,05/04/2014,Sal N. DiDomenico,Sal DiDomenico,State Senator of the Middlesex and Suffolk District,200.00
1102,05/04/2014,Committee for a Democratic Senate,Committee for a Democratic Senate,Committee for a Democratic Senate,200.00
1102,05/13/2014,Barry R. Finegold,Barry Finegold,State Senator of the 2nd Essex and Middlesex District,100.00
1102,05/20/2014,Committee for a Democratic House,Committee for a Democratic House,Committee for a Democratic House,200.00
1102,05/20/2014,Danielle Gregoire,Danielle Gregoire,State Representative for the 4th Middlesex District,100.00
1102,05/21/2014,Brian S. Dempsey,Brian Dempsey,State Representative for the 3rd Essex District,200.00
1102,06/04/2014,Robert F. Fennell,Robert F. Fennell,State Representative for the 10th Essex District,100.00
